Project,Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
blueprints,rev_46c22-58b06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_75545-44cc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_4f96f-8c8a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_00573-da687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_31b90-beb54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_56339-c7e93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_3cb22-1174d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_c0811-cd0fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_593f4-725d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_4f735-a2be6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_30e3c-f0737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_fd1fc-08fd0,1,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0
blueprints,rev_942a3-47d2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_3f897-5a205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_e7f8d-18283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_8a1ff-d5a20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_b8495-06d33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_cbaee-ccc76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_80023-1b5a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_175a7-30ee0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_25bc6-b12d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_1af6b-49200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_e0ff7-6f6ce,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
